               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.010182,           0.0078577,           0.0065569,             0.99149,             0.99594,             0.99304,             0.90661,           0.0030251,           0.0021924,          0.00010802,            0.003367,            0.003367,            0.003367
                  69,            0.010097,           0.0076713,           0.0058896,             0.98937,             0.99833,              0.9936,             0.90362,            0.002956,           0.0021788,           0.0001013,            0.003268,            0.003268,            0.003268
                  70,           0.0098633,           0.0077428,           0.0060836,             0.99337,             0.99725,             0.99346,             0.90358,           0.0030758,           0.0022078,          7.5062e-05,            0.003169,            0.003169,            0.003169
                  71,            0.009884,           0.0076806,           0.0059386,             0.99217,             0.99766,             0.99348,             0.90451,           0.0030175,           0.0021896,          9.0214e-05,             0.00307,             0.00307,             0.00307
                  72,             0.00991,           0.0076308,           0.0061486,              0.9932,             0.99766,              0.9935,             0.90796,           0.0029518,           0.0021937,          8.4606e-05,            0.002971,            0.002971,            0.002971
                  73,           0.0096692,           0.0076215,           0.0057674,             0.99235,              0.9989,             0.99345,             0.90886,            0.002934,           0.0022182,           6.662e-05,            0.002872,            0.002872,            0.002872
                  74,           0.0097971,           0.0076325,           0.0057829,             0.99178,             0.99852,             0.99345,             0.90616,           0.0029318,           0.0021787,          7.6289e-05,            0.002773,            0.002773,            0.002773
                  75,           0.0099168,           0.0077071,           0.0060093,             0.99308,             0.99842,             0.99349,             0.90886,           0.0029575,           0.0021886,           6.938e-05,            0.002674,            0.002674,            0.002674
                  76,           0.0095054,           0.0076016,           0.0061316,             0.99327,             0.99863,             0.99347,              0.9083,           0.0029392,           0.0022082,          5.6455e-05,            0.002575,            0.002575,            0.002575
                  77,           0.0095166,           0.0076511,           0.0055566,             0.99262,             0.99833,             0.99336,             0.90779,           0.0029321,           0.0021663,          7.1495e-05,            0.002476,            0.002476,            0.002476
                  78,           0.0090887,           0.0074528,           0.0050522,             0.99285,             0.99833,             0.99349,             0.90885,           0.0029168,           0.0021628,          7.6617e-05,            0.002377,            0.002377,            0.002377
                  79,           0.0094744,           0.0075099,           0.0054744,             0.99338,             0.99861,             0.99352,             0.90879,           0.0029065,           0.0021369,          7.8799e-05,            0.002278,            0.002278,            0.002278
                  80,           0.0091822,           0.0074558,             0.00505,             0.99259,             0.99853,             0.99356,             0.91157,           0.0028978,           0.0021681,          6.8716e-05,            0.002179,            0.002179,            0.002179
                  81,           0.0095083,           0.0074073,           0.0051254,             0.99313,             0.99859,             0.99356,             0.91066,           0.0029015,           0.0021635,          6.5972e-05,             0.00208,             0.00208,             0.00208
                  82,           0.0089299,           0.0073478,           0.0048374,             0.99369,             0.99804,             0.99355,             0.91309,            0.002862,           0.0021416,          5.8898e-05,            0.001981,            0.001981,            0.001981
                  83,           0.0088612,            0.007365,           0.0046495,             0.99292,             0.99854,             0.99361,             0.91134,           0.0028941,           0.0021607,          6.3184e-05,            0.001882,            0.001882,            0.001882
                  84,           0.0088065,           0.0073187,           0.0039258,             0.99088,             0.99875,             0.99356,             0.91415,           0.0028614,           0.0021659,           6.127e-05,            0.001783,            0.001783,            0.001783
                  85,           0.0090153,           0.0072823,           0.0043441,              0.9926,             0.99855,              0.9936,             0.91599,           0.0028364,            0.002141,          4.8272e-05,            0.001684,            0.001684,            0.001684
                  86,           0.0088929,           0.0071724,           0.0045759,             0.99281,             0.99884,             0.99362,             0.91917,           0.0028192,           0.0021397,          5.1078e-05,            0.001585,            0.001585,            0.001585
                  87,           0.0087344,           0.0073238,           0.0040786,             0.99281,             0.99862,             0.99372,             0.91871,           0.0028127,           0.0021187,          5.3818e-05,            0.001486,            0.001486,            0.001486
                  88,           0.0085764,           0.0073191,           0.0042811,             0.99296,             0.99859,             0.99375,             0.91953,           0.0028149,           0.0021335,          6.1794e-05,            0.001387,            0.001387,            0.001387
                  89,           0.0086028,           0.0072328,            0.003698,             0.99263,              0.9986,             0.99376,             0.92128,           0.0028029,           0.0021257,           5.957e-05,            0.001288,            0.001288,            0.001288
                  90,           0.0082968,           0.0072364,           0.0039197,             0.99298,             0.99859,             0.99375,             0.91962,           0.0028079,           0.0021181,          5.6757e-05,            0.001189,            0.001189,            0.001189
                  91,           0.0084453,           0.0071445,           0.0040049,             0.99331,             0.99866,             0.99377,             0.92335,            0.002803,            0.002122,           4.985e-05,             0.00109,             0.00109,             0.00109
                  92,            0.008272,           0.0070456,           0.0034607,             0.99316,             0.99842,             0.99382,             0.92366,           0.0027958,           0.0021155,          5.3298e-05,            0.000991,            0.000991,            0.000991
                  93,           0.0082768,           0.0070415,           0.0040346,             0.99249,             0.99866,             0.99382,              0.9264,           0.0027859,           0.0021123,          4.9559e-05,            0.000892,            0.000892,            0.000892
                  94,           0.0082549,           0.0071167,           0.0038815,             0.99123,             0.99874,             0.99381,              0.9252,           0.0028014,           0.0021188,          4.7132e-05,            0.000793,            0.000793,            0.000793
                  95,           0.0080511,           0.0070409,           0.0035989,             0.99274,              0.9985,             0.99377,             0.92654,             0.00279,            0.002113,          4.6759e-05,            0.000694,            0.000694,            0.000694
                  96,           0.0079854,           0.0071972,           0.0035224,             0.99318,             0.99867,              0.9938,             0.92528,           0.0027913,           0.0021134,          4.9751e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0078409,           0.0069514,           0.0030634,             0.99264,             0.99829,             0.99375,             0.92721,           0.0027811,           0.0021025,          5.1094e-05,            0.000496,            0.000496,            0.000496
                  98,             0.00815,           0.0068657,           0.0035737,             0.99279,             0.99739,             0.99372,             0.92829,            0.002779,           0.0020972,          4.9991e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0076966,           0.0069286,           0.0029662,             0.99311,             0.99859,             0.99376,             0.92881,           0.0027815,           0.0020995,          4.8561e-05,            0.000298,            0.000298,            0.000298
